id;sensor_id;time;m3
12899;1;2018-06-01 01:00:00;0.0000
12901;1;2018-06-01 02:00:00;0.0000
12903;1;2018-06-01 03:00:00;0.0000
12904;2;2018-06-01 01:00:00;0.0000
12905;1;2018-06-01 04:00:00;0.0000
12906;2;2018-06-01 02:00:00;0.0020
12907;1;2018-06-01 05:00:00;0.0000
12908;2;2018-06-01 03:00:00;0.0000
12909;1;2018-06-01 06:00:00;0.0000
